"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Markdown", "XML", "TypeScript React", "CSS", "HTML", "Log", "comment", "blank", "total"
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\context\upperUiContext.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 22
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\context\upperVisInitState.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\context\upperVisReducer.ts", "TypeScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 121
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\context\useTabReducer.ts", "TypeScript", 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 209
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\custom.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 5, 2, 15
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\graphql\graphqlMutations.ts", "TypeScript", 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 353
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\graphql\graphqlQueries.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 75
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 4, 20
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\state\data\bookmarksData.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 69
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\state\data\tabsData.ts", "TypeScript", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 171
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\state\hooks\colorHooks.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\state\hooks\defaultSettingsHooks.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 57
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\state\hooks\useAuth.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\state\hooks\useBookmarks.ts", "TypeScript", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 22, 189
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\state\hooks\useBookmarksDb.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\state\hooks\useReset.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\state\hooks\useTabs.ts", "TypeScript", 303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 20, 350
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\state\hooks\useTabsDb.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\alphabet-x.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\arrowLeft.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\arrowRight.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\beaker.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\beakerSmall.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\bookmarkAlt.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\check-big.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\check-small.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\chevron-down.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\chevron-up.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\cog.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\cross-arrows.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\eye-off.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\eye.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\folder.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\internet-web-browser-conv.svg", "XML", 0, 0, 0, 0, 0, 245, 0, 0, 0, 0, 0, 0, 245
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\login.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\minus-sm.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\note_UXwing.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\pencilSmall.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\photograph.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
